"Invoice","Factura"
"QR Code","Codi QR"
"Verification URL:","URL de Verificació:"
"Status:","Estat:"
"Send to Verifactu","Enviar a Verifactu"
"Send/Resend Invoice","Enviar/Reenviar Factura"
"Are you sure you want to send this invoice to Verifactu? This will reset any previous attempts and force a new submission.","Esteu segur que voleu enviar aquesta factura a Verifactu? Això restablirà qualsevol intent anterior i forçarà un nou enviament."
"Processing...","Processant..."
"Webhook registered successfully!","Webhook registrat correctament!"
"Success","Èxit"
"Webhook URL:","URL del Webhook:"
"Webhook ID:","ID del Webhook:"
"Secret Key:","Clau Secreta:"
"Store this secret key securely.","Guardeu aquesta clau secreta de forma segura."
"Error","Error"
"Failed to register webhook","Error en registrar el webhook"
"Failed to register webhook. Please check your API credentials.","Error en registrar el webhook. Si us plau, verifiqueu les vostres credencials d'API."
"Register Webhook","Registrar Webhook"
"Verifactu API Logs","Registres d'API Verifactu"
"Invoice ID is required.","L'ID de factura és obligatori."
"Verifactu module is disabled.","El mòdul Verifactu està deshabilitat."
"Invoice #%1 has been queued for resending to Verifactu. It will be processed in the next cron run.","La factura #%1 ha estat posada a la cua per reenviar-la a Verifactu. Es processarà a la propera execució del cron."
"Invoice not found.","Factura no trobada."
"An error occurred while resending invoice: %1","S'ha produït un error en reenviar la factura: %1"
"Success","Èxit"
"Error","Error"
"Pending","Pendent"
"View QR","Veure QR"
"Pending AEAT validation","Pendent de validació AEAT"
"Test","Proves"
"Production","Producció"
"Verifactu Invoice with id ""%1"" does not exist.","La factura Verifactu amb id ""%1"" no existeix."
"Verifactu Invoice for invoice id ""%1"" does not exist.","La factura Verifactu per l'id de factura ""%1"" no existeix."
"Pending","Pendent"
"Retry","Reintentar"
"Sent to Verifactu","Enviada a Verifactu"
"Confirmed","Confirmada"
"Warning","Advertència"
"Failed","Fallida"
"ID","ID"
"Invoice ID","ID de Factura"
"Invoice #","Factura #"
"Grand Total","Total General"
"Action","Acció"
"Status","Estat"
"HTTP Status","Estat HTTP"
"Error Message","Missatge d'Error"
"Created At","Creat el"
"Orangecat","Orangecat"
"Verifactu API","API Verifactu"
"General Settings","Configuració General"
"Enable Module","Activar Mòdul"
"Enable or disable Verifactu integration","Activar o desactivar la integració amb Verifactu"
"Environment","Entorn"
"Select Test or Production environment","Seleccionar entorn de Proves o Producció"
"API Credentials","Credencials d'API"
"API Email","Email d'API"
"Your Verifactu API email","El vostre email d'API de Verifactu"
"API Password","Contrasenya d'API"
"Your Verifactu API password","La vostra contrasenya d'API de Verifactu"
"Emisor Information","Informació de l'Emissor"
"NIF","NIF"
"Company NIF/CIF","NIF/CIF de l'empresa"
"Company Name","Nom de l'Empresa"
"Legal company name","Nom legal de l'empresa"
"Postal Code","Codi Postal"
"Company postal code","Codi postal de l'empresa"
"Retry Settings","Configuració de Reintents"
"Maximum Retry Attempts","Número Màxim de Reintents"
"Number of retry attempts before marking as failed (default: 3)","Número d'intents de reenviament abans de marcar com a fallida (per defecte: 3)"
"Retry Interval (minutes)","Interval de Reintent (minuts)"
"Time between retry attempts in minutes (default: 30)","Temps entre intents de reenviament en minuts (per defecte: 30)"
"Notification Settings","Configuració de Notificacions"
"Enable Email Notifications","Activar Notificacions per Email"
"Send email notifications when retries are exhausted","Enviar notificacions per email quan s'esgoten els reintents"
"Email Recipients","Destinataris d'Email"
"Comma-separated list of email addresses to notify","Llista d'adreces d'email separades per comes per notificar"
"Email Sender","Remitent de l'Email"
"Webhook Configuration","Configuració del Webhook"
"Configure webhook to receive automatic notifications from AEAT","Configurar webhook per rebre notificacions automàtiques de l'AEAT"
"Current Webhook URL","URL del Webhook Actual"
"This URL should be registered in Verifactu to receive AEAT status notifications","Aquesta URL s'ha de registrar a Verifactu per rebre notificacions d'estat de l'AEAT"
"Click to register or update the webhook URL in Verifactu API","Feu clic per registrar o actualitzar l'URL del webhook a l'API de Verifactu"
"QR Display Settings","Configuració de Visualització del QR"
"Configure messages shown to customers when viewing invoices","Configurar missatges mostrats als clients en veure factures"
"QR Section Title","Títol de la Secció QR"
"Title shown above QR section (default: VERIFACTU - Factura verificable en la sede electrónica de la AEAT)","Títol mostrat a sobre de la secció QR (per defecte: VERIFACTU - Factura verificable en la sede electrónica de la AEAT)"
"Pending Message","Missatge de Pendent"
"Message shown when invoice is pending or in retry status","Missatge mostrat quan la factura està pendent o en estat de reintent"
"Awaiting Confirmation Message","Missatge d'Esperant Confirmació"
"Message shown when invoice has been sent to Verifactu but not yet confirmed by AEAT","Missatge mostrat quan la factura ha estat enviada a Verifactu però encara no confirmada per l'AEAT"
"Warning Message","Missatge d'Advertència"
"Message shown alongside QR when invoice was confirmed with warnings","Missatge mostrat al costat del QR quan la factura va ser confirmada amb advertències"
"Failed Message","Missatge de Fallada"
"Message shown when invoice validation failed","Missatge mostrat quan la validació de la factura va fallar"
"Debug Settings","Configuració de Depuració"
"Enable Detailed Logging","Activar Registre Detallat"
"Log all API requests and responses to database","Registrar totes les peticions i respostes de l'API a la base de dades"
"Log Retention Days","Dies de Retenció de Registres"
"Number of days to keep API logs before automatic cleanup (default: 30)","Número de dies per mantenir els registres d'API abans de la neteja automàtica (per defecte: 30)"
"Request Data","Dades de Petició"
"Response Data","Dades de Resposta"
