"Invoice","Factura"
"QR Code","Código QR"
"Verification URL:","URL de Verificación:"
"Status:","Estado:"
"Send to Verifactu","Enviar a Verifactu"
"Send/Resend Invoice","Enviar/Reenviar Factura"
"Are you sure you want to send this invoice to Verifactu? This will reset any previous attempts and force a new submission.","¿Está seguro de que desea enviar esta factura a Verifactu? Esto restablecerá cualquier intento anterior y forzará un nuevo envío."
"Processing...","Procesando..."
"Webhook registered successfully!","Webhook registrado correctamente!"
"Success","Éxito"
"Webhook URL:","URL del Webhook:"
"Webhook ID:","ID del Webhook:"
"Secret Key:","Clave Secreta:"
"Store this secret key securely.","Guarde esta clave secreta de forma segura."
"Error","Error"
"Failed to register webhook","Error al registrar el webhook"
"Failed to register webhook. Please check your API credentials.","Error al registrar el webhook. Por favor, verifique sus credenciales de API."
"Register Webhook","Registrar Webhook"
"Verifactu API Logs","Registros de API Verifactu"
"Invoice ID is required.","El ID de factura es obligatorio."
"Verifactu module is disabled.","El módulo Verifactu está deshabilitado."
"Invoice #%1 has been queued for resending to Verifactu. It will be processed in the next cron run.","La factura #%1 ha sido puesta en cola para reenviarla a Verifactu. Se procesará en la próxima ejecución del cron."
"Invoice not found.","Factura no encontrada."
"An error occurred while resending invoice: %1","Ocurrió un error al reenviar la factura: %1"
"Success","Éxito"
"Error","Error"
"Pending","Pendiente"
"View QR","Ver QR"
"Pending AEAT validation","Pendiente de validación AEAT"
"Test","Pruebas"
"Production","Producción"
"Verifactu Invoice with id ""%1"" does not exist.","La factura Verifactu con id ""%1"" no existe."
"Verifactu Invoice for invoice id ""%1"" does not exist.","La factura Verifactu para el id de factura ""%1"" no existe."
"Pending","Pendiente"
"Retry","Reintentar"
"Sent to Verifactu","Enviada a Verifactu"
"Confirmed","Confirmada"
"Warning","Advertencia"
"Failed","Fallida"
"ID","ID"
"Invoice ID","ID de Factura"
"Invoice #","Factura #"
"Grand Total","Total General"
"Action","Acción"
"Status","Estado"
"HTTP Status","Estado HTTP"
"Error Message","Mensaje de Error"
"Created At","Creado el"
"Orangecat","Orangecat"
"Verifactu API","API Verifactu"
"General Settings","Configuración General"
"Enable Module","Activar Módulo"
"Enable or disable Verifactu integration","Activar o desactivar la integración con Verifactu"
"Environment","Entorno"
"Select Test or Production environment","Seleccionar entorno de Pruebas o Producción"
"API Credentials","Credenciales de API"
"API Email","Email de API"
"Your Verifactu API email","Su email de API de Verifactu"
"API Password","Contraseña de API"
"Your Verifactu API password","Su contraseña de API de Verifactu"
"Emisor Information","Información del Emisor"
"NIF","NIF"
"Company NIF/CIF","NIF/CIF de la empresa"
"Company Name","Nombre de la Empresa"
"Legal company name","Nombre legal de la empresa"
"Postal Code","Código Postal"
"Company postal code","Código postal de la empresa"
"Retry Settings","Configuración de Reintentos"
"Maximum Retry Attempts","Número Máximo de Reintentos"
"Number of retry attempts before marking as failed (default: 3)","Número de intentos de reenvío antes de marcar como fallida (por defecto: 3)"
"Retry Interval (minutes)","Intervalo de Reintento (minutos)"
"Time between retry attempts in minutes (default: 30)","Tiempo entre intentos de reenvío en minutos (por defecto: 30)"
"Notification Settings","Configuración de Notificaciones"
"Enable Email Notifications","Activar Notificaciones por Email"
"Send email notifications when retries are exhausted","Enviar notificaciones por email cuando se agoten los reintentos"
"Email Recipients","Destinatarios de Email"
"Comma-separated list of email addresses to notify","Lista de direcciones de email separadas por comas para notificar"
"Email Sender","Remitente del Email"
"Webhook Configuration","Configuración del Webhook"
"Configure webhook to receive automatic notifications from AEAT","Configurar webhook para recibir notificaciones automáticas de la AEAT"
"Current Webhook URL","URL del Webhook Actual"
"This URL should be registered in Verifactu to receive AEAT status notifications","Esta URL debe registrarse en Verifactu para recibir notificaciones de estado de la AEAT"
"Click to register or update the webhook URL in Verifactu API","Haga clic para registrar o actualizar la URL del webhook en la API de Verifactu"
"QR Display Settings","Configuración de Visualización del QR"
"Configure messages shown to customers when viewing invoices","Configurar mensajes mostrados a los clientes al ver facturas"
"QR Section Title","Título de la Sección QR"
"Title shown above QR section (default: VERIFACTU - Factura verificable en la sede electrónica de la AEAT)","Título mostrado encima de la sección QR (por defecto: VERIFACTU - Factura verificable en la sede electrónica de la AEAT)"
"Pending Message","Mensaje de Pendiente"
"Message shown when invoice is pending or in retry status","Mensaje mostrado cuando la factura está pendiente o en estado de reintento"
"Awaiting Confirmation Message","Mensaje de Esperando Confirmación"
"Message shown when invoice has been sent to Verifactu but not yet confirmed by AEAT","Mensaje mostrado cuando la factura ha sido enviada a Verifactu pero aún no confirmada por la AEAT"
"Warning Message","Mensaje de Advertencia"
"Message shown alongside QR when invoice was confirmed with warnings","Mensaje mostrado junto al QR cuando la factura fue confirmada con advertencias"
"Failed Message","Mensaje de Fallo"
"Message shown when invoice validation failed","Mensaje mostrado cuando la validación de la factura falló"
"Debug Settings","Configuración de Depuración"
"Enable Detailed Logging","Activar Registro Detallado"
"Log all API requests and responses to database","Registrar todas las peticiones y respuestas de la API en la base de datos"
"Log Retention Days","Días de Retención de Registros"
"Number of days to keep API logs before automatic cleanup (default: 30)","Número de días para mantener los registros de API antes de la limpieza automática (por defecto: 30)"
"Request Data","Datos de Petición"
"Response Data","Datos de Respuesta"
